File Updated: 29-May-2025 16:31:50 
Data version 2.5 
Site:" Bondville, United States" 
Site_Code,Latitude,Longitude, Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local, Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local, Hours_sampled,Parameter_Code,Parameter_Name,Value,Units, Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
USBO,40.0533,-88.3719,212,USBO-0001,2015,8,11,9,2015,8,20,9,24,28101,Filter PM2.5 mass,7.69,Micrograms per cubic meter (ug/m3),112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0002,2015,8,20,9,2015,8,29,9,24,28101,Filter PM2.5 mass,7.17,Micrograms per cubic meter (ug/m3),112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0005,2015,9,16,9,2015,9,25,9,24,28101,Filter PM2.5 mass,9.26,Micrograms per cubic meter (ug/m3),112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0006,2015,9,25,9,2015,10,4,9,24,28101,Filter PM2.5 mass,6.75,Micrograms per cubic meter (ug/m3),112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0007,2015,10,4,9,2015,10,13,9,24,28101,Filter PM2.5 mass,8.82,Micrograms per cubic meter (ug/m3),112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0001,2015,8,11,9,2015,8,20,9,24,28302,Ammoniated Sulfate,2.89,Micrograms per cubic meter (ug/m3),612,SO42_non-SS + [NH4+] - 0.29[NO3-] where [SO42-]non-SS = [SO42-]total - 0.12[Na+],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0002,2015,8,20,9,2015,8,29,9,24,28302,Ammoniated Sulfate,2.23,Micrograms per cubic meter (ug/m3),612,SO42_non-SS + [NH4+] - 0.29[NO3-] where [SO42-]non-SS = [SO42-]total - 0.12[Na+],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0005,2015,9,16,9,2015,9,25,9,24,28302,Ammoniated Sulfate,1.81,Micrograms per cubic meter (ug/m3),612,SO42_non-SS + [NH4+] - 0.29[NO3-] where [SO42-]non-SS = [SO42-]total - 0.12[Na+],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0006,2015,9,25,9,2015,10,4,9,24,28302,Ammoniated Sulfate,1.77,Micrograms per cubic meter (ug/m3),612,SO42_non-SS + [NH4+] - 0.29[NO3-] where [SO42-]non-SS = [SO42-]total - 0.12[Na+],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0007,2015,10,4,9,2015,10,13,9,24,28302,Ammoniated Sulfate,2.08,Micrograms per cubic meter (ug/m3),612,SO42_non-SS + [NH4+] - 0.29[NO3-] where [SO42-]non-SS = [SO42-]total - 0.12[Na+],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0001,2015,8,11,9,2015,8,20,9,24,28303,Ammonium Nitrate,0.3,Micrograms per cubic meter (ug/m3),613,1.29[NO3-],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0002,2015,8,20,9,2015,8,29,9,24,28303,Ammonium Nitrate,0.58,Micrograms per cubic meter (ug/m3),613,1.29[NO3-],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
USBO,40.0533,-88.3719,212,USBO-0005,2015,9,16,9,2015,9,25,9,24,28303,Ammonium Nitrate,0.4,Micrograms per cubic meter (ug/m3),613,1.29[NO3-],Ion Chromatography; mass concentration presented at RH = 35%;,Ambient local,
